entity	file	value	xpath	attributes	attribute_values
manuscripts	1010.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1011.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1011.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1011.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1011.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1012.xml	1100-1300?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1012.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1012.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1012.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1013.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1013.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1013.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1013.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1014.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1014.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1014.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1014.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1015.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1015.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1015.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1015.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1016.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1016.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1016.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1016.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1017.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1017.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1017.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1017.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1018.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1018.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1018.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1018.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1019.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1019.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1019.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1019.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	102.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	102.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	102.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	102.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1020.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1020.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1020.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1020.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1021.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1021.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1021.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1021.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
