ms_id	file	locus_xpath	locus_xpath_readable	part	action	changed	from_before	to_before	text_before	other_attrs_before	from_after	to_after	text_after	other_attrs_after	element_before	element_after	note
1571	data/manuscripts/tei/1571.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	10r	31v	10r–31v		10r	31v	10r–31v		"<locus from=""10r"" to=""31v"">10r–31v</locus>"	"<locus from=""10r"" to=""31v"">10r–31v</locus>"	text already matches @from/@to
1571	data/manuscripts/tei/1571.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	37r	44v	37r–44v		37r	44v	37r–44v		"<locus from=""37r"" to=""44v"">37r–44v</locus>"	"<locus from=""37r"" to=""44v"">37r–44v</locus>"	text already matches @from/@to
1571	data/manuscripts/tei/1571.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	110r	110v	110r–110v		110r	110v	110r–110v		"<locus from=""110r"" to=""110v"">110r–110v</locus>"	"<locus from=""110r"" to=""110v"">110r–110v</locus>"	text already matches @from/@to
1571	data/manuscripts/tei/1571.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	125r	125v	125r–125v		125r	125v	125r–125v		"<locus from=""125r"" to=""125v"">125r–125v</locus>"	"<locus from=""125r"" to=""125v"">125r–125v</locus>"	text already matches @from/@to
1571	data/manuscripts/tei/1571.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	150r	158v	150r–158v		150r	158v	150r–158v		"<locus from=""150r"" to=""158v"">150r–158v</locus>"	"<locus from=""150r"" to=""158v"">150r–158v</locus>"	text already matches @from/@to
1574	data/manuscripts/tei/1574.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1	11	1–11		1	11	1–11		"<locus from=""1"" to=""11"">1–11</locus>"	"<locus from=""1"" to=""11"">1–11</locus>"	text already matches @from/@to
1575	data/manuscripts/tei/1575.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	1v	1r–1v		1r	1v	1r–1v		"<locus from=""1r"" to=""1v"">1r–1v</locus>"	"<locus from=""1r"" to=""1v"">1r–1v</locus>"	text already matches @from/@to
1576	data/manuscripts/tei/1576.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	7r	8v	7r–8v		7r	8v	7r–8v		"<locus from=""7r"" to=""8v"">7r–8v</locus>"	"<locus from=""7r"" to=""8v"">7r–8v</locus>"	text already matches @from/@to
1577	data/manuscripts/tei/1577.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	23r	23v	23r–23v		23r	23v	23r–23v		"<locus from=""23r"" to=""23v"">23r–23v</locus>"	"<locus from=""23r"" to=""23v"">23r–23v</locus>"	text already matches @from/@to
1578	data/manuscripts/tei/1578.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	1v	1r–1v		1r	1v	1r–1v		"<locus from=""1r"" to=""1v"">1r–1v</locus>"	"<locus from=""1r"" to=""1v"">1r–1v</locus>"	text already matches @from/@to
1579	data/manuscripts/tei/1579.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
158	data/manuscripts/tei/158.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1580	data/manuscripts/tei/1580.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	17r	17v	17r–17v		17r	17v	17r–17v		"<locus from=""17r"" to=""17v"">17r–17v</locus>"	"<locus from=""17r"" to=""17v"">17r–17v</locus>"	text already matches @from/@to
1581	data/manuscripts/tei/1581.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	9v	1r–9v		1r	9v	1r–9v		"<locus from=""1r"" to=""9v"">1r–9v</locus>"	"<locus from=""1r"" to=""9v"">1r–9v</locus>"	text already matches @from/@to
1582	data/manuscripts/tei/1582.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	2v	1r–2v		1r	2v	1r–2v		"<locus from=""1r"" to=""2v"">1r–2v</locus>"	"<locus from=""1r"" to=""2v"">1r–2v</locus>"	text already matches @from/@to
1583	data/manuscripts/tei/1583.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	1v	1r–1v		1r	1v	1r–1v		"<locus from=""1r"" to=""1v"">1r–1v</locus>"	"<locus from=""1r"" to=""1v"">1r–1v</locus>"	text already matches @from/@to
1584	data/manuscripts/tei/1584.xml	/*/*[2]/*/*/*/*[2]/*[3]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	2r		2r		2r		2r		"<locus from=""2r"">2r</locus>"	"<locus from=""2r"">2r</locus>"	text already matches @from/@to
