work_file	author_ref	author_text	author_xpath	author_named_xpath	title_text	title_xpath	title_named_xpath	person_headword	person_headword_xpath	person_named_xpath
25.xml	https://jalit.org/person/11	Yešuʿa ben Yehuda	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/11']	Short Commentary on the Book of Leviticus (Yešuʿa ben Yehuda)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yešuʿa ben Yehuda	/*/*[2]/*/*/*/*[3]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
26.xml	https://jalit.org/person/25	David al-Fāsī	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/25']	The Hebrew-Arabic Dictionary of the Bible (David al-Fāsī)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	David al-Fāsī	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
28.xml	https://jalit.org/person/4	Yefet ben ʿEli	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/4']	Commentary on the Book of Kings (Yefet ben ʿEli)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yefet ben ʿEli	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
29.xml	https://jalit.org/person/4	Yefet ben ʿEli	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/4']	Commentary on the Book of Psalms (Yefet ben ʿEli)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yefet ben ʿEli	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
3.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Interpretation of Difficult Words (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
30.xml	https://jalit.org/person/6	David ben Boʿaz	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/6']	Commentary on the Book of Deuteronomy (David ben Boʿaz)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	David ben Boʿaz	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
31.xml	https://jalit.org/person/6	David ben Boʿaz	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/6']	Commentary on the Pentateuch (David ben Boʿaz)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	David ben Boʿaz	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
34.xml	https://jalit.org/person/6	David ben Boʿaz	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/6']	Long Commentary on the Book of Leviticus (David ben Boʿaz)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	David ben Boʿaz	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
35.xml	https://jalit.org/person/9	Yosef ha-Roʾeh	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/9']	"Commentary on ""Should the matter be beyond you to judge"" (Deut 17:8) (Yosef ha-Roʾeh)"	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yosef ha-Roʾeh	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
37.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Book of Introduction into the Discipline of Careful Investigation of the Ways of the Hebrew Language (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
4.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Talḫīṣ of Ibn Nūḥ’s Commentary on the Pentateuch (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
5.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Book of Introduction into the Discipline of Careful Investigation of the Ways of the Hebrew Language (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
6.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	The Comprehensive Book of General Principles and Particular Rules of the Hebrew Language (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
7.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	The Sufficient Book on the Hebrew Language (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
8.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	The Short Version of the Sufficient Book on the Hebrew Language (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
9.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Guide for the Reader (Long Version) (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
