host_ms	bibl_xml_id	bibl_xpath_readable	ref_ms	target	ref_resolvable	would_add	would_remove	would_keep	severity	issues
114		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	https://jalit.org/manuscript/116	yes	0	0	0	INFO	REF_NO_LOCI
116		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	118	https://jalit.org/manuscript/118	yes	0	0	0	INFO	REF_NO_LOCI
116		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	117	https://jalit.org/manuscript/117	yes	0	0	0	INFO	REF_NO_LOCI
116		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	https://jalit.org/manuscript/114	yes	0	0	0	INFO	REF_NO_LOCI
117		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	118	https://jalit.org/manuscript/118	yes	0	0	0	INFO	REF_NO_LOCI
117		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	https://jalit.org/manuscript/116	yes	0	0	0	INFO	REF_NO_LOCI
117		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	https://jalit.org/manuscript/114	yes	0	0	0	INFO	REF_NO_LOCI
118		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	117	https://jalit.org/manuscript/117	yes	0	0	0	INFO	REF_NO_LOCI
118		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	https://jalit.org/manuscript/116	yes	0	0	0	INFO	REF_NO_LOCI
118		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	https://jalit.org/manuscript/114	yes	0	0	0	INFO	REF_NO_LOCI
134		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	88	https://jalit.org/manuscript/88	yes	0	0	0	INFO	REF_NO_LOCI
134		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	136	https://jalit.org/manuscript/136	yes	0	0	0	INFO	REF_NO_LOCI
136		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	88	https://jalit.org/manuscript/88	yes	0	0	0	INFO	REF_NO_LOCI
136		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	134	https://jalit.org/manuscript/134	yes	0	0	0	INFO	REF_NO_LOCI
139		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	164	https://jalit.org/manuscript/164	yes	0	0	0	INFO	REF_NO_LOCI
141		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	76	https://jalit.org/manuscript/76	yes	0	0	0	INFO	REF_NO_LOCI
142		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	143	https://jalit.org/manuscript/143	yes	0	0	0	INFO	REF_NO_LOCI
143		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	142	https://jalit.org/manuscript/142	yes	0	0	0	INFO	REF_NO_LOCI
148		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	https://jalit.org/manuscript/189	yes	0	0	0	INFO	REF_NO_LOCI
148		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	https://jalit.org/manuscript/191	yes	0	0	0	INFO	REF_NO_LOCI
148		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	https://jalit.org/manuscript/181	yes	0	0	0	INFO	REF_NO_LOCI
148		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	https://jalit.org/manuscript/190	yes	0	0	0	INFO	REF_NO_LOCI
148		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	https://jalit.org/manuscript/196	yes	0	0	0	INFO	REF_NO_LOCI
151		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	92	https://jalit.org/manuscript/92	yes	0	0	0	INFO	REF_NO_LOCI
152		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	153	https://jalit.org/manuscript/153	yes	0	0	0	INFO	REF_NO_LOCI
153		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	152	https://jalit.org/manuscript/152	yes	0	0	0	INFO	REF_NO_LOCI
159		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	266	https://jalit.org/manuscript/266	yes	0	0	0	INFO	REF_NO_LOCI
159		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	258	https://jalit.org/manuscript/258	yes	0	0	0	INFO	REF_NO_LOCI
159		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	298	https://jalit.org/manuscript/298	yes	0	0	0	INFO	REF_NO_LOCI
159		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	297	https://jalit.org/manuscript/297	yes	0	0	0	INFO	REF_NO_LOCI
159		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	296	https://jalit.org/manuscript/296	yes	0	0	0	INFO	REF_NO_LOCI
162		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	167	https://jalit.org/manuscript/167	yes	0	0	0	INFO	REF_NO_LOCI
164		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	139	https://jalit.org/manuscript/139	yes	0	0	0	INFO	REF_NO_LOCI
167		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	162	https://jalit.org/manuscript/162	yes	0	0	0	INFO	REF_NO_LOCI
169		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	300	https://jalit.org/manuscript/300	yes	0	0	0	INFO	REF_NO_LOCI
169		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	218	https://jalit.org/manuscript/218	yes	0	0	0	INFO	REF_NO_LOCI
176		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	179	https://jalit.org/manuscript/179	yes	0	0	0	INFO	REF_NO_LOCI
179		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	176	https://jalit.org/manuscript/176	yes	0	0	0	INFO	REF_NO_LOCI
181		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	https://jalit.org/manuscript/189	yes	0	0	0	INFO	REF_NO_LOCI
181		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	148	https://jalit.org/manuscript/148	yes	0	0	0	INFO	REF_NO_LOCI
181		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	https://jalit.org/manuscript/191	yes	0	0	0	INFO	REF_NO_LOCI
181		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	https://jalit.org/manuscript/190	yes	0	0	0	INFO	REF_NO_LOCI
181		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	https://jalit.org/manuscript/196	yes	0	0	0	INFO	REF_NO_LOCI
182		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	188	https://jalit.org/manuscript/188	yes	0	0	0	INFO	REF_NO_LOCI
188		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	182	https://jalit.org/manuscript/182	yes	0	0	0	INFO	REF_NO_LOCI
189		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	148	https://jalit.org/manuscript/148	yes	0	0	0	INFO	REF_NO_LOCI
189		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	https://jalit.org/manuscript/191	yes	0	0	0	INFO	REF_NO_LOCI
